'of he' | In regular: 95 | In spam: 51 | logProbRegular: -4.545867 | logProbSpam: -5.535635
'credi hisory\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'before raes' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'raes move' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'move higher\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'morgage or' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'or improvmes' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'need cosolidaig' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'cosolidaig of' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'or maybe' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'are lookig' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he his' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'friday november' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'our produc' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'moey back' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he from' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'is of' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'docume var' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'docume docume' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wrie his' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'var of' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'if docume' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'his mac' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'his if' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'baachocohomailcom mbulacahomailcom' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'all his' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'ad are' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'discover he' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'you he' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he of' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wedesday december' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'me ad' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he back' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'up he' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'food ad' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wih her' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'the hamburger' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'hamburger was' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he sove\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'your life' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'moday december' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'is abou' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'waer ad' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he uied' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'of agriculure' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'po bo' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'washigo dc' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'hisory projecs' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'projecs ad' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'ad coracs' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'baachspaceshomailcom mbulahhomailcom' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'mbulacioshomailcom baachraumhomailcom' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'birds durig' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wigs ad' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wach the' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'the diries' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'diries se' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'se ever\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'this movie' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'movie will' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'will ge' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'ge you' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'you cummig' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'cummig asap\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'xxx never' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'never before' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'before seen' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'seen footage' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'footage xxx\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'be the' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'firs to' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'before is' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'is baed\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'load sie' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'sie below' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'below to' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'to ge' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'ge free' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'free access\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'cofideialiy is' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'wach paris' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'paris have' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'load splaed' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'splaed oo' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'oo her' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'her prey' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'prey tis\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'paris is' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'is waiig' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'waiig for' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'you iside\n' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'birds ha' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'resposible for' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'he saellie' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'of saellie' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'lnb coverer' | In regular: 0 | In spam: 3 | logProbRegular: -11.197530 | logProbSpam: -8.368848
'cmalmamedrugl wed' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'to ibcmedmailmedrugl\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'coeype eeriched\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'subjec geeral' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'meeig firs' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'firs aouceme\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ad phds\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'our geeral' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'meeig wih' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'wih will' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'the ageda' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ageda will' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'will follow' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'begiig of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of december\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'heisiueieeeorg mo' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'reurpah owerheisiueboldfishieeeorg\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'seder owerheisiueboldfishieeeorg\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'xseder owerheisiueboldfishieeeorg\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'xseder heisiueieeeorg' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'aderso seleced' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ieee presideelec\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'library epads\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'seekig meors' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'for desig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of fuure' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'fuure ciy\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'boso group' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'group mies' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'mies fu' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'wih fudameals\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'sie eplais' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'eplais beefis' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of membership\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'markeplace of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ideas hoorable' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'hoorable meio\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'for fellow' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'fellow nomiaios' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'nomiaios comig\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'tips for' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'for shippig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'shippig gifs\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'sponsored by\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'coaied bewee' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'symbols should' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'be seleced' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'seleced whe' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'clickig or' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ad pasig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'browser widow' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ieee board' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'board of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of direcors' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from ieee' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'available hrough' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'hrough ieee' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'compeiio sposored' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of us' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'which will' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'for eams' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'eams of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of sudes' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'he desig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'how you' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'group is' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'if youre' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'he ew' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ieee web' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'services ad' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'he orgaizaios' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'are some' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'address are' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'member beefi' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'umber for' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'subscripio by' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from acdesseacuk' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'reurpah alaesseacuk\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from majordom' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'majordom by' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'local eim' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'wih esmp' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'esmp eim' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from dowo' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'dowo adrew' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'xessemailscaeriformaio please' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'he isp' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'isp for' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'xessemailscaer foud' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'seder alaesseacuk\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'for muliple' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'sih iapr' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'iapr ieraioal' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'workshop o\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'docume aalysis' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'there are' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'are wo' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'mai addiios' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'addiios wih' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'wih respec' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'daa are' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'he workshop' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'workshop web' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'proceedigs will' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'published by' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'by spriger' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'spriger verlag' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'message was' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'|vacaio iessik\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'service uavailable\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'trascrip of' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'lamberlocalhos tue' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from marius' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'spam whielised' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'whielised spamassassi' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'here is' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'as you' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'ieee socieies' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'membership beefis' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'you his' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'his year' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'hak you' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'ad email' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'the drawig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'lamber schomaker' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'suggesed sude' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'sude projec' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'scribal hadwriig\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'coac us' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'naioal library' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'library of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'by permissio' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'permissio of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of projectbr\n' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'five hudred' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'he wrie' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'dissemiaio of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'from is' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'he scribes' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'they are' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'did he' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'or how' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'is here' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'before he' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'samescribe specimes' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'eglish scribes' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'for classifyig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ideify ew' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'algorihms for' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'samples of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of scribal' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'scribal hadwriig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'hadwriig by' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'each of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'also be' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'ad saisical' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'scribes as' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'se of' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'some by' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'scribes ad' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'heir algorihms' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'feaures ad' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'hem ha' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'wihiclass variabiliy' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'variabiliy ad' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'larger ha' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'meas ha' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'he variabiliy' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'greaer ha' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'he had' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'had of' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'of ay' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'over ime' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'ime or' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
'of hadwriig' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'of lowercase' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'lowercase leers' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'ruled lies' | In regular: 2 | In spam: 0 | logProbRegular: -8.406597 | logProbSpam: -11.197530
'how much' | In regular: 1 | In spam: 1 | logProbRegular: -9.099744 | logProbSpam: -9.467460
